venue,title,year,authors,entityUrl
SIGMOD Conference,Extracting Schema from Semistructured Data,1998,"Serge Abiteboul, Rajeev Motwani, Svetlozar Nestorov",conf/sigmod/NestorovAM98
VLDB,Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,2003,"Josef Burger, Jeffrey F. Naughton, Stratis Viglas",conf/vldb/ViglasNB03
VLDB J.,Fibonacci: A Programming Language for Object Databases,1995,"Antonio Albano, Renzo Orsini, Giorgio Ghelli",journals/vldb/AlbanoGO95
SIGMOD Conference,A Theory of Redo Recovery,2003,"Mark R. Tuttle, David B. Lomet",conf/sigmod/LometT03
VLDB,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,1994,"John G. Hughes, David A. Bell, Sarabjot S. Anand",conf/vldb/AnandBH94
SIGMOD Conference,Distance-Based Indexing for High-Dimensional Metric Spaces,1997,"Z. Meral �zsoyoglu, Tolga Bozkaya",conf/sigmod/BozkayaO97
SIGMOD Record,Provision of Market Services for eCo Compliant Electronic Market Places,2000,"Sena Nural Arpinar, Asuman Dogac",journals/sigmod/ArpinarD00
SIGMOD Record,Report on the 2001 SIGMOD and PODS Awards,2001,Philip A. Bernstein,journals/sigmod/Bernstein01
VLDB,Disseminating Updates on Broadcast Disks,1996,"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin",conf/vldb/AcharyaFZ96
VLDB J.,"Watermarking relational data: framework, algorithms and analysis",2003,"Peter J. Haas, Rakesh Agrawal, Jerry Kiernan",journals/vldb/AgrawalHK03
VLDB J.,"Title, Foreword, Preface to the Special Issue on Spatial Database Systems, Index Vol. 3",1994,?,journals/vldb/C94c
SIGMOD Record,Research in database engineering at the University of Namur,2003,Jean-Luc Hainaut,journals/sigmod/Hainaut03
SIGMOD Conference,Maintaining Database Consistency in Presence of Value Dependencies in Multidatabase Systems,1996,"Mich�le Cart, Claire Morpain, Jean-Fran�ois Pons, Jean Ferri�",conf/sigmod/MorpainCFP96
VLDB J.,Integrating and customizing heterogeneous e-commerce applications,2001,"Anat Eyal, Tova Milo",journals/vldb/EyalM01
VLDB J.,A Semantic Modeling Approach for Image Retrieval by Content,1994,"Ricky K. Taira, Ion Tim Ieong, Wesley W. Chu",journals/vldb/ChuIT94
VLDB J.,Guest editorial,2003,"Yannis E. Ioannidis, Raghu Ramakrishnan, Philip A. Bernstein",journals/vldb/BernsteinIR03
SIGMOD Record,Electronic Market: The Roadmap for University Libraries and Members to Survive in the Information Jungle,1998,"Peter C. Lockemann, Bethina Schmitt, Michael Christoffel, Sebastian Pulkowski",journals/sigmod/ChristoffelPSL98
ACM Trans. Database Syst.,Altruistic Locking,1994,"Jeannie Shands, Kenneth Salem, Hector Garcia-Molina",journals/tods/SalemGS94
VLDB,Query Processing in Tertiary Memory Databases,1995,Sunita Sarawagi,conf/vldb/Sarawagi95
SIGMOD Record,Component-based E-Commerce: Assesment of Current Practices and Future Directions,1998,"Martin Bichler, Arie Segev, J. Leon Zhao",journals/sigmod/BichlerSZ98
SIGMOD Conference,"Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases",1995,"Kaizhong Zhang, Dennis Shasha, Jason Tsong-Li Wang",conf/sigmod/WangZS95
VLDB,Building Scalable Internet Applications with Oracle8i Server,2000,"Olga Peschansky, Jos� Alberto Fern�ndez, Julie Basu",conf/vldb/BasuFP00
SIGMOD Conference,The Montage Extensible DataBlade Achitecture,1994,Michael Ubell,conf/sigmod/Ubell94
ACM Trans. Database Syst.,Quorum Consensus in Nested Transaction Systems,1994,"Kenneth J. Goldman, Nancy A. Lynch",journals/tods/GoldmanL94
ACM Trans. Database Syst.,Model and Verification of a Data Manager Based on ARIES,1996,Dean Kuo,journals/tods/Kuo96
ACM Trans. Database Syst.,Spatial queries in dynamic environments,2003,"Yufei Tao, Dimitris Papadias",journals/tods/TaoP03
VLDB J.,Learning Response Time for WebSources Using Query Feedback and Application in Query Optimization,2000,"Jean-Robert Gruser, Vladimir Zadorozhny, Louiqa Raschid, Tao Zhan",journals/vldb/GruserRZZ00
SIGMOD Record,Virtual Database technology,1997,"Venky Harinarayan, Ashish Gupta, Anand Rajaraman",journals/sigmod/GuptaHR97
SIGMOD Record,Time management for new faculty,2003,"Anastassia Ailamaki, Johannes Gehrke",journals/sigmod/AilamakiG03
SIGMOD Record,Much Ado About Shared-Nothing,1996,"Michael G. Norman, Peter Thanisch, Thomas Zurek",journals/sigmod/NormanZT96
VLDB,Optimized Query Execution in Large Search Engines with Global Page Ordering,2003,"Torsten Suel, Xiaohui Long",conf/vldb/LongS03
SIGMOD Conference,Query Optimization at the Crossroads (Panel),1997,Surajit Chaudhuri,conf/sigmod/Chaudhuri97
SIGMOD Conference,STRUDEL: A Web-site Management System,1997,"Alon Y. Levy, Mary F. Fernandez, Jaewoo Kang, Daniela Florescu, Dan Suciu",conf/sigmod/FernandezFKLS97
SIGMOD Record,Chair's Message,2003,M. Tamer �zsu,journals/sigmod/Ozsu03a
SIGMOD Conference,On Supporting Containment Queries in Relational Database Management Systems,2001,"Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",conf/sigmod/ZhangNDLL01
SIGMOD Record,The p Operator: Discovering and Ranking Associations on the Semantic Web,2002,"Kemafor Anyanwu, Amit P. Sheth",journals/sigmod/AnyanwuS02
SIGMOD Record,Repositories and Object Oriented Databases,1998,Philip A. Bernstein,journals/sigmod/Bernstein98
SIGMOD Record,Editor's Notes,2002,Ling Liu,journals/sigmod/Liu02a
VLDB,GTE SuperPages: Using IR Techniques for Searching Complex Objects,1997,"Steven D. Whitehead, Himanshu Sinha, Michael Murphy",conf/vldb/WhiteheadSM97
SIGMOD Conference,A Data Model and Data Structures for Moving Objects Databases,2000,"Markus Schneider, Enrico Nardelli, Luca Forlizzi, Ralf Hartmut G�ting",conf/sigmod/ForlizziGNS00
SIGMOD Record,Middle East Technical University Software Research and Development Center,1996,Asuman Dogac,journals/sigmod/Dogac96
SIGMOD Conference,The Handwritten Trie: Indexing Electronic Ink,1995,"Padmavathi Vallabhaneni, Daniel Barbar�, Walid G. Aref",conf/sigmod/ArefBV95
SIGMOD Record,Research Issues in Federated Database Systems: Report of EFDBS '97 Workshop,1997,"F�lix Saltor, Mark Roantree, Mark W. W. Vermeer, Wilhelm Hasselbring, Martin Sch�nhoff, Markus Str�ssler, Barry Eaglestone, Stefan Conrad",journals/sigmod/ConradEHRSSSV97
SIGMOD Conference,Dynamic multidimensional histograms,2002,"Piotr Indyk, Sudipto Guha, Nitin Thaper, Nick Koudas",conf/sigmod/ThaperGIK02
ACM Trans. Database Syst.,Inverted Files Versus Signature Files for Text Indexing,1998,"Kotagiri Ramamohanarao, Justin Zobel, Alistair Moffat",journals/tods/ZobelMR98
VLDB,Aggregation Algorithms for Very Large Compressed Data Warehouses,1999,"Jaideep Srivastava, Jianzhong Li, Doron Rotem",conf/vldb/LiRS99
VLDB J.,Delivering Presentations from Multimedia Servers,1998,"Nevzat Hurkan Balkir, Gultekin �zsoyoglu",journals/vldb/BalkirO98
ACM Trans. Database Syst.,Automated Resolution of Semantic Heterogeneity in Multidatabases,1994,"A. R. Hurson, Simin H. Pakzad, M. W. Bright",journals/tods/BrightHP94
SIGMOD Record,Chair's Message,2001,M. Tamer �zsu,journals/sigmod/Ozsu01
SIGMOD Record,Book Review Column,2002,Karl Aberer,journals/sigmod/Aberer02b
SIGMOD Record,The Design and Performance Evaluation of Alternative XML Storage Strategies,2002,"David J. DeWitt, Jianjun Chen, Chun Zhang, Feng Tian",journals/sigmod/TianDCZ02
ACM Trans. Database Syst.,Containment of Conjunctive Queries: Beyond Relations as Sets,1995,"Raghu Ramakrishnan, Yannis E. Ioannidis",journals/tods/IoannidisR95
SIGMOD Record,From the Guest Editors - Special Section on Data Management Issues in Mobile Computing,1995,"Margaret H. Dunham, Abdelsalam Helal",journals/sigmod/DunhamH95
VLDB,A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,2002,"Yang-Sae Moon, Young-Koo Lee, Il-Yeol Song, Kyu-Young Whang",conf/vldb/LeeWMS02
SIGMOD Conference,Turbo-charging Vertical Mining of Large Databases,2000,"Jayant R. Haritsa, Devavrat Shah, S. Sudarshan, Pradeep Shenoy, Mayank Bawa, Gaurav Bhalotia",conf/sigmod/ShenoyHSBBS00
SIGMOD Conference,PREDATOR: An OR-DBMS with Enhanced Data Types,1997,"Praveen Seshadri, Mark Paskin",conf/sigmod/SeshadriP97
SIGMOD Record,Exploiting Main Memory DBMS Features to Improve Real-Time Concurrency Control Protocols,1996,"�zg�r Ulusoy, Alejandro P. Buchmann",journals/sigmod/UlusoyB96
VLDB,Approximate Query Processing: Taming the TeraBytes,2001,"Minos N. Garofalakis, Phillip B. Gibbons",conf/vldb/GarofalakisG01
SIGMOD Record,Querying Multi-dimensional Data Indexed Using the Hilbert Space-filling Curve,2001,"Peter J. H. King, Jonathan K. Lawder",journals/sigmod/LawderK01
SIGMOD Record,Theory of Answering Queries Using Views,2000,Alon Y. Halevy,journals/sigmod/Halevy00
SIGMOD Conference,GridDB: A Database Interface to the Grid,2003,"David T. Liu, Devesh Parekh, Michael J. Franklin",conf/sigmod/LiuFP03
VLDB,Controlling Access to Published Data Using Cryptography,2003,"Gerome Miklau, Dan Suciu",conf/vldb/MiklauS03
VLDB J.,Approximate query processing using wavelets,2001,"Rajeev Rastogi, Minos N. Garofalakis, Kyuseok Shim, Kaushik Chakrabarti",journals/vldb/ChakrabartiGRS01
SIGMOD Conference,Minimal probing: supporting expensive predicates for top-k queries,2002,"Kevin Chen-Chuan Chang, Seung-won Hwang",conf/sigmod/ChangH02
VLDB J.,"Advanced Data Processing in KRISYS: Modeling Concepts, Implementation Techniques, and Client/Server Issues",1998,"Nelson Mendon�a Mattos, Joachim Thomas, Theo H�rder, Stefan De�loch, Bernhard Mitschang",journals/vldb/DesslochHMMT98
SIGMOD Record,Letter to SIGMOD Record Editor,2002,Nazih Elderini,journals/sigmod/Elderini02
SIGMOD Record,Progress on HPCC and NII,1994,Marianne Winslett,journals/sigmod/Winslett94
SIGMOD Record,An Aspect of Query Optimization in Multidatabase Systems (Extended Abstract),1995,"Chiang Lee, Hongjun Lu, Chia-Jung Chen",journals/sigmod/LeeCL95
VLDB,Novel Approaches in Query Processing for Moving Object Trajectories,2000,"Yannis Theodoridis, Dieter Pfoser, Christian S. Jensen",conf/vldb/PfoserJT00
VLDB,Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,1999,Adam Blum,conf/vldb/Blum99
SIGMOD Record,Reminiscences on Influential Papers,2002,"Kenneth A. Ross, Anastassia Ailamaki, Alfred V. Aho",journals/sigmod/RossAA02
SIGMOD Conference,Rate-based query optimization for streaming information sources,2002,"Jeffrey F. Naughton, Stratis Viglas",conf/sigmod/ViglasN02
SIGMOD Conference,EMC Information Sharing: Direct Access to MVS Data from Unix and NT,1999,Walt Kohler,conf/sigmod/Kohler99
VLDB,Selectivity Estimation in Extensible Databases - A Neural Network Approach,1998,"Shaoyu Zhou, M. Seetha Lakshmi",conf/vldb/LakshmiZ98
SIGMOD Record,Data Warehousing and Business Intelligence for E-Commerce - Book Review,2002,Frank G. Goethals,journals/sigmod/Goethals02
SIGMOD Conference,Selectivity Estimation using Probabilistic Models,2001,"Daphne Koller, Lise Getoor, Benjamin Taskar",conf/sigmod/GetoorTK01
VLDB,Bridging Heterogeneity: Research and Practice of Database Middleware Technology,1998,"G�nter Sauter, Fernando de Ferreira Rezende",conf/vldb/RezendeS98
VLDB,"What Do Those Weird XML Types Want, Anyway?",1999,Steven J. DeRose,conf/vldb/DeRose99
SIGMOD Record,Report on the 4th International Conference on Mobile Data Management,2003,"Panos K. Chrysanthis, Arkady B. Zaslavsky, Morris Sloman",journals/sigmod/ChrysanthisSZ03
VLDB,A Prototype Content-Based Retrieval System that Uses Virtual Images to Save Space,2001,"Leonard Brown, Le Gruenwald",conf/vldb/BrownG01
VLDB,Warehousing Workflow Data: Challenges and Opportunities,2001,"Umeshwar Dayal, Ming-Chien Shan, Angela Bonifati, Fabio Casati",conf/vldb/BonifatiCDS01
VLDB,Declustering Databases on Heterogeneous Disk Systems,1995,"Doron Rotem, Sridhar Seshadri, Ling Tony Chen",conf/vldb/ChenRS95
VLDB,Toward Learning Based Web Query Processing,2000,"Yanlei Diao, Hongjun Lu, Zengping Tian, Songting Chen",conf/vldb/DiaoLCT00
SIGMOD Record,Information Finding in a Digital Library: The Stanford Perspective,1995,"Tak W. Yan, Hector Garcia-Molina",journals/sigmod/YanG95
VLDB J.,Fast Image Retrieval Using Color-Spatial Information,1998,"Kian-Lee Tan, Tat-Seng Chua, Beng Chin Ooi, Wynne Hsu",journals/vldb/OoiTCH98
SIGMOD Conference,Delivering High Availability for Inktomi Search Engines,1998,Eric A. Brewer,conf/sigmod/Brewer98
SIGMOD Conference,The Araneus Web-Base Management System,1998,"Giansalvatore Mecca, Paolo Merialdo, Alessandro Masci, Paolo Atzeni, Giuseppe Sindoni",conf/sigmod/MeccaAMMS98
SIGMOD Conference,CURE: An Efficient Clustering Algorithm for Large Databases,1998,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",conf/sigmod/GuhaRS98
VLDB,Algorithms for Materialized View Design in Data Warehousing Environment,1997,"Kamalakar Karlapalem, Jian Yang, Qing Li",conf/vldb/YangKL97
SIGMOD Conference,Enhanced Hypertext Categorization Using Hyperlinks,1998,"Byron Dom, Piotr Indyk, Soumen Chakrabarti",conf/sigmod/ChakrabartiDI98
SIGMOD Conference,LORE: A Lightweight Object REpository for Semistructured Data,1996,"Janet L. Wiener, Jason McHugh, Serge Abiteboul, Qingshan Luo, Anand Rajaraman, Dallan Quass, Jeffrey D. Ullman, Roy Goldman, Hugo Rivero, Jennifer Widom, Svetlozar Nestorov, Kevin Haas",conf/sigmod/QuassWGHLMNRRAUW96
SIGMOD Conference,VQBD: Exploring Semistructured Data,2001,"Jihwang Yeo, Sudarshan S. Chawathe, Thomas Baby",conf/sigmod/BabyCY01
SIGMOD Record,The Grid: An Application of the Semantic Web,2002,"Carole A. Goble, David De Roure",journals/sigmod/GobleR02a
VLDB,Grid and Applications (Industrial Session),2003,Frank Leymann,conf/vldb/Leymann03
SIGMOD Conference,"i3: Intelligent, Interactive Investigaton of OLAP data cubes",2000,"Sunita Sarawagi, Gayatri Sathe",conf/sigmod/Sarawagi00
SIGMOD Record,Algebraic Change Propagation for Semijoin and Outerjoin Queries,1998,"Timothy Griffin, Bharat Kumar",journals/sigmod/GriffinK98
VLDB J.,Checking the Temporal Integrity of Interactive Multimedia Documents,2000,"S. Tserkezoglou, Timos K. Sellis, Barbara Pernici, Michalis Vazirgiannis, Isabelle Mirbel",journals/vldb/MirbelPSTV00
VLDB J.,Efficient filtering of XML documents with XPath expressions,2002,"Rajeev Rastogi, Pascal Felber, Chee Yong Chan, Minos N. Garofalakis",journals/vldb/ChanFGR02
SIGMOD Conference,"Of Crawlers, Portals, Mice and Men: Is there more to Mining the Web? (Panel)",1999,"Kyuseok Shim, Rajeev Rastogi, Minos N. Garofalakis, Sridhar Ramaswamy",conf/sigmod/GarofalakisRRS99
SIGMOD Record,Design and User Testing of a Multi-Paradigm Query Interface to an Object-Oriented Database,1995,"Dac Khoa Doan, Alistair C. Kilgour, Norman W. Paton",journals/sigmod/DoanPK95
ACM Trans. Database Syst.,Efficient Checking of Temporal Integrity Constraints Using Bounded History Encoding,1995,Jan Chomicki,journals/tods/Chomicki95
VLDB,What Is the Nearest Neighbor in High Dimensional Spaces?,2000,"Charu C. Aggarwal, Alexander Hinneburg, Daniel A. Keim",conf/vldb/HinneburgAK00
SIGMOD Conference,DTL's DataSpot: Database Exploration as Easy as Browsing the Web,1998,"Gadi Entin, Shai Geva, Eran Palmon, Shaul Dar",conf/sigmod/DarEGP98
SIGMOD Record,3D Geographic Network Displays,1996,"Taosong He, Stephen G. Eick, Kenneth C. Cox",journals/sigmod/CoxEH96
VLDB,"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications",1999,"Stefano Paraboschi, Piero Fraternali, Stefano Ceri",conf/vldb/CeriFP99
VLDB,Processing Star Queries on Hierarchically-Clustered Fact Tables,2002,"Nikos Karayannidis, Frank Ramsak, Timos K. Sellis, Rudolf Bayer, Robert Fenk, Klaus Elhardt, Volker Markl, Roland Pieringer, Aris Tsois",conf/vldb/KarayannidisTSPMRFEB02
SIGMOD Conference,Winnowing: Local Algorithms for Document Fingerprinting,2003,"Alexander Aiken, Daniel Shawcross Wilkerson, Saul Schleimer",conf/sigmod/SchleimerWA03
VLDB J.,Access Path Support for Referential Integrity in SQL2,1996,"Joachim Reinert, Theo H�rder",journals/vldb/HarderR96
SIGMOD Record,Enhanced Nearest Neighbour Search on the R-tree,1998,"Ada Wai-Chee Fu, King Lum Cheung",journals/sigmod/CheungF98
SIGMOD Conference,EOS: An Extensible Object Store,1994,"Euthimios Panagos, Alexandros Biliris",conf/sigmod/BilirisP94
VLDB,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,1996,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",conf/vldb/LakshmananSS96
SIGMOD Conference,Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,2001,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",conf/sigmod/DoanDH01
VLDB J.,Optimal Clip Ordering for Multi-Clip Queries,1998,"Raymond T. Ng, Paul Shum",journals/vldb/NgS98
VLDB,Process Automation as the Foundation for E-Business,2000,"Fabio Casati, Ming-Chien Shan",conf/vldb/CasatiS00
SIGMOD Record,Research Issues in Active Database Systems: Report from the Closing Panel at RIDE-ADS '94,1994,Jennifer Widom,journals/sigmod/Widom94
SIGMOD Record,ACM TODS in this Internet Age,2003,Richard T. Snodgrass,journals/sigmod/Snodgrass03
VLDB,Algorithms for Querying by Spatial Structure,1998,"Nikos Mamoulis, Dimitris Papadias, Vasilis Delis",conf/vldb/PapadiasMD98
SIGMOD Conference,Query by Diagram: A Graphical Environment for Querying Databases,1994,"Giuseppe Santucci, Tiziana Catarci",conf/sigmod/CatarciS94
VLDB,User-Defined Table Operators: Enhancing Extensibility for ORDBMS,1999,"Bernhard Mitschang, Michael Jaedicke",conf/vldb/JaedickeM99
SIGMOD Record,Guest Editor's Introduction,2002,Asuman Dogac,journals/sigmod/Dogac02
SIGMOD Conference,XRANK: Ranked Keyword Search over XML Documents,2003,"Feng Shao, Lin Guo, Chavdar Botev, Jayavel Shanmugasundaram",conf/sigmod/GuoSBS03
SIGMOD Record,Chair's Message,1998,Richard T. Snodgrass,journals/sigmod/Snodgrass98c
SIGMOD Record,Infering Structure in Semistructured Data,1997,"Rajeev Motwani, Serge Abiteboul, Svetlozar Nestorov",journals/sigmod/NestorovAM97
VLDB,Efficacious Data Cube Exploration by Semantic Summarization and Compression,2003,"Jian Pei, Laks V. S. Lakshmanan, Yan Zhao",conf/vldb/LakshmananPZ03
SIGMOD Conference,High-Performance Sorting on Networks of Workstations,1997,"David E. Culler, Joseph M. Hellerstein, David A. Patterson, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau",conf/sigmod/Arpaci-DusseauACHP97
SIGMOD Record,Transactional Information Systems - Book Review,2001,Marc H. Scholl,journals/sigmod/Scholl01
ACM Trans. Database Syst.,Polymorphism and Type Inference in Database Programming,1996,"Atsushi Ohori, Peter Buneman",journals/tods/BunemanO96
VLDB,An Effective Deductive Object-Oriented Database Through Language Integration,1994,"M. Howard Williams, Norman W. Paton, Andrew Dinn, Maria L. Barja, Alvaro A. A. Fernandes",conf/vldb/BarjaPFWD94
VLDB,Cache Conscious Indexing for Decision-Support in Main Memory,1999,"Kenneth A. Ross, Jun Rao",conf/vldb/RaoR99
VLDB,Analyzing Quantitative Databases: Image is Everything,2001,"Reuven Kashi, Nathan S. Netanyahu, Amihood Amir",conf/vldb/AmirKN01
SIGMOD Conference,DBCache: database caching for web application servers,2002,"Sailesh Krishnamurthy, C. Mohan, Larry Brown, Hamid Pirahesh, Mehmet Altinel, Honguk Woo, Qiong Luo, Bruce G. Lindsay",conf/sigmod/AltinelLKMPLWB02
