authors,venue,title,year,entityUrl
"Ramesh C. Agarwal, Mahesh V. Joshi",SIGMOD Conference,Mining Needle in a Haystack: Classifying Rare Classes via Two-phase Rule Induction,2001,conf/sigmod/JoshiA01
"Paul Cereghini, Carlos Ordonez",SIGMOD Conference,SQLEM: Fast Clustering in SQL using the EM Algorithm,2000,conf/sigmod/OrdonezC00
"Ioana Burcea, Milenko Petrovic, Hans-Arno Jacobsen",VLDB,S-ToPSS: Semantic Toronto Publish/Subscribe System,2003,conf/vldb/PetrovicBJ03
Frank Leymann,VLDB,Managing Business Processes via Workflow Technology,2001,conf/vldb/Leymann01
"Bruce Lo, Tali Roth, Ron Avnur, Joseph M. Hellerstein, Chris Olston, Kirk Wylie, Bhaskaran Raman, Vijayshankar Raman",SIGMOD Conference,CONTROL: Continuous Output and Navigation Technology with Refinement On-Line,1998,conf/sigmod/AvnurHLORRRW98
"Yasushi Kiyoki, Takanari Hayama, Takashi Kitagawa",SIGMOD Record,A Metadatabase System for Semantic Image Search by a Mathematical Model of Meaning,1994,journals/sigmod/KiyokiKH94
"Hui-I Hsiao, Inderpal Narang",SIGMOD Conference,DLFM: A Transactional Resource Manager,2000,conf/sigmod/HsiaoN00
Soumen Chakrabarti,SIGMOD Conference,Hypertext Databases and Data Mining,1999,conf/sigmod/Chakrabarti99
"Matthias Klusch, Katia P. Sycara, Seth Widoff, Jianguo Lu",SIGMOD Record,Dynamic Service Matchmaking Among Agents in Open Information Environments,1999,journals/sigmod/SycaraKWL99
"Waqar Hasan, Patrick Valduriez, Daniela Florescu",SIGMOD Record,Open Issues in Parallel Query Optimization,1996,journals/sigmod/HasanFV96
Ilsoo Ahn,SIGMOD Conference,Database Issues in Telecommunications Network Management,1994,conf/sigmod/Ahn94
Chebel Mina,VLDB,MapInfo SpatialWare: A Spatial Information Server for RDBMS,1998,conf/vldb/Mina98
"Kien A. Hua, Jung-Hwan Oh",SIGMOD Conference,Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases,2000,conf/sigmod/OhHP00
"Timos K. Sellis, Aris Tsois",VLDB,The Generalized Pre-Grouping Transformation: Aggregate-Query Optimization in the Presence of Dependencies,2003,conf/vldb/TsoisS03
?,VLDB,MineSet(tm): A System for High-End Data Mining and Visualization,1996,conf/vldb/MiningGroup96
"Alexander Borgida, Martin Staudt, Vinay K. Chaudhri",SIGMOD Record,KRDB '98: The 5th International Workshop on Knowledge Representation Meets Databases,1998,journals/sigmod/BorgidaCS98
"Peter A. Boncz, Tim R�hl, Fred Kwakkel",VLDB,The Drill Down Benchmark,1998,conf/vldb/BonczRK98
"Arjan Pellenkoft, C�sar A. Galindo-Legaria, Martin L. Kersten",VLDB,"Fast, Randomized Join-Order Selection - Why Use Transformations?",1994,conf/vldb/Galindo-LegariaPK94
Ronald G. Ross,SIGMOD Conference,Expressing Business Rules,2000,conf/sigmod/Ross00
"Kenneth A. Ross, Zhe Li",VLDB J.,Fast Joins Using Join Indices,1999,journals/vldb/LiR99
"Sanjeev Saluja, Hannu Toivonen, Roni Khardon, Heikki Mannila, Ram Sewak Sharm, Dimitrios Gunopulos",ACM Trans. Database Syst.,Discovering all most specific sentences,2003,journals/tods/GunopulosKMSTS03
"Sukho Lee, Bongki Moon, Hyoseop Shin",SIGMOD Conference,Adaptive Multi-Stage Distance Join Processing,2000,conf/sigmod/MoonSL00
"Christos Faloutsos, Leejay Wu, Katia P. Sycara, Terry R. Payne",VLDB,FALCON: Feedback Adaptive Loop for Content-Based Retrieval,2000,conf/vldb/WuFSP00
"Kian-Lee Tan, Son Dao, Hongjun Lu",VLDB,The Fittest Survives: An Adaptive Approach to Query Optimization,1995,conf/vldb/LuTD95
Sherif Danish,SIGMOD Record,Building Database-driven Electronic Catalogs,1998,journals/sigmod/Danish98
Tzi-cker Chiueh,VLDB,Content-Based Image Indexing,1994,conf/vldb/Chiueh94
"Mong-Li Lee, Beng Chin Ooi, Anirban Mondal, Kian-Lee Tan, Masaru Kitsuregawa",SIGMOD Conference,Towards Self-Tuning Data Placement in Parallel Database Systems,2000,conf/sigmod/LeeKOTM00
"Barbara Liskov, Atul Adya, Robert Gruber, Umesh Maheshwari",SIGMOD Conference,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,1995,conf/sigmod/AdyaGLM95
"Philip A. Bernstein, Erhard Rahm, Sergey Melnik",SIGMOD Conference,Rondo: A Programming Platform for Generic Model Management,2003,conf/sigmod/MelnikRB03
Joseph M. Hellerstein,ACM Trans. Database Syst.,Optimization Techniques for Queries with Expensive Methods,1998,journals/tods/Hellerstein98
"Fran�ois Llirbat, Fran�oise Fabret, Eric Simon",SIGMOD Conference,Eliminating Costly Redundant Computations from SQL Trigger Executions,1997,conf/sigmod/LlirbatFS97
"Lyman Do, Prabhu Ram, Pamela Drew",SIGMOD Conference,The Need for Distributed Asynchronous Transactions,1999,conf/sigmod/DoRD99
"Yusuf Akca, Cemal Yilmaz, K. Sel�uk Candan, Wen-Syan Li, Wei-Kuang Waine Huang, Qiong Luo, Divyakant Agrawal, Wang-Pin Hsiung, Oliver Po",VLDB,Cache Portal: Technology for Accelerating Database-driven e-commerce Web Sites,2001,conf/vldb/LiCHPALHAY01
"Dimitris Papadias, Yufei Tao",VLDB,MV3R-Tree: A Spatio-Temporal Access Method for Timestamp and Interval Queries,2001,conf/vldb/PapadiasT01
"Richard Swagerman, Nelson Mendon�a Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin",SIGMOD Conference,"O-O, What's Happening to DB2?",1999,conf/sigmod/CareyCNVDRSM99
"Beverly Yang, Hector Garcia-Molina",VLDB,Comparing Hybrid Peer-to-Peer Systems,2001,conf/vldb/YangG01
"Vuk Ercegovac, Allison Woodruff, Michael Stonebraker, Mark Lin, Mybrid Spalding, Alexander Aiken, Chris Olston, Michael Chu",SIGMOD Conference,DataSplash,1998,conf/sigmod/OlstonWACELSS98
"Nick Roussopoulos, Yannis Kotidis",ACM Trans. Database Syst.,A case for dynamic view management,2001,journals/tods/KotidisR01
"Riccardo Torlone, Paolo Atzeni",VLDB,Chameleon: an Extensible and Customizable Tool for Web Data Translation,2003,conf/vldb/TorloneA03
"Ibrahim Cingil, Nazife Dimililer, Nesime Tatbul, Ilker Durusoy, Asuman Dogac, Pinar Koksal, Sena Nural Arpinar",SIGMOD Record,A Workflow-based Electronic Marketplace on the Web,1998,journals/sigmod/DogacDATKCD98
"Jayant Madhavan, Robin Dhamankar, Alon Y. Halevy, Pedro Domingos, AnHai Doan",VLDB J.,Learning to match ontologies on the Semantic Web,2003,journals/vldb/DoanMDDH03
Michael M. David,SIGMOD Record,ANSI SQL Hierarchical Processing Can Fully Integrate Native XML,2003,journals/sigmod/David03
Harald Sch�ning,VLDB,The ADABAS Buffer Pool Manager,1998,conf/vldb/Schoning98
"Yuan Gao, Theodore Johnson, Charles D. Cranor, Vladislav Shkapenyuk, Oliver Spatscheck",SIGMOD Conference,Gigascope: high performance network monitoring with an SQL interface,2002,conf/sigmod/CranorGJSS02
"Salvatore J. Stolfo, Mauricio A. Hern�ndez",SIGMOD Conference,The Merge/Purge Problem for Large Databases,1995,conf/sigmod/HernandezS95
"Nikos Mamoulis, Jun Zhang, Dimitris Papadias, Yufei Tao",VLDB,Query Processing in Spatial Network Databases,2003,conf/vldb/PapadiasZMT03
"B. Gotsmann, A. Dholakia, G. Cherubini, Walter H�berle, H. Pozidis, Michel Despont, Richard Stutz, P. B�chtold, C. Hagleitner, T. R. Albrecht, Hugo E. Rothuizen, Gerd K. Binnig, D. Jubin, A. Pantazi, M. A. Lantz, E. Eleftheriou, Urs D�rig, T. Loeliger, Peter Vettiger, D. Wiesmann, Ute Drechsler",VLDB,A Nanotechnology-based Approach to Data Storage,2003,conf/vldb/EleftheriouBCDHLPPABDDDGJHLRSVW03
"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",VLDB,Fast High-Dimensional Data Search in Incomplete Databases,1998,conf/vldb/OoiGT98
"Jeffrey Xu Yu, Hongjun Lu, Ling Feng, Jiawei Han",VLDB J.,A template model for multidimensional inter-transactional association rules,2002,journals/vldb/FengYLH02
"Wei-Yin Loh, Raghu Ramakrishnan, Venkatesh Ganti, Johannes Gehrke",SIGMOD Conference,BOAT-Optimistic Decision Tree Construction,1999,conf/sigmod/GehrkeGRL99
"Samuel Madden, Mehul A. Shah, Vijayshankar Raman, Joseph M. Hellerstein",SIGMOD Conference,Continuously adaptive continuous queries over streams,2002,conf/sigmod/MaddenSHR02
"Peter Thanisch, Colin Stirling, Tim Kempster",SIGMOD Record,Diluting ACID,1999,journals/sigmod/KempsterST99
"Alberto O. Mendelzon, Dimitra Vista, Masum Z. Hasan",SIGMOD Record,Applying database Visualization to the World Wide Web,1996,journals/sigmod/HasanMV96
"Michael Benedikt, Aoying Zhou, Rajeev Rastogi, Shihui Zheng, Chee Yong Chan, Wenfei Fan",VLDB,DTD-Directed Publishing with Attribute Translation Grammars,2002,conf/vldb/BenediktCFRZZ02
"Surajit Chaudhuri, Prasanna Ganesan, Vivek R. Narasayya",VLDB,Primitives for Workload Summarization and Implications for SQL,2003,conf/vldb/ChaudhuriGN03
"Betty Salzberg, Chendong Zou",VLDB,Safely and Efficiently Updating References During On-line Reorganization,1998,conf/vldb/ZouS98
"Michele Missikoff, Anna Formica, Hans Dietmar Gr�ger",ACM Trans. Database Syst.,An Efficient Method for Checking Object-Oriented Database Schema Correctness,1998,journals/tods/FormicaGM98
"Michael Stonebraker, Sunita Sarawagi",VLDB,Reordering Query Execution in Tertiary Memory Databases,1996,conf/vldb/SarawagiS96
T. K. Rengarajan,VLDB,How System 11 SQL Server Became Fast,1996,conf/vldb/Rengarajan96
Anant Jhingran,SIGMOD Record,Moving up the food chain: Supporting E-Commerce Applications on Databases,2000,journals/sigmod/Jhingran00
"Chin-Wan Chung, Kyuseok Shim, Jun-Ki Min",SIGMOD Conference,APEX: an adaptive path index for XML data,2002,conf/sigmod/ChungMS02
Elisa Bertino,VLDB J.,Index Configuration in Object-Oriented Databases,1994,journals/vldb/Bertino94
"Dimitris Papadias, Yufei Tao, Qiongmao Shen",VLDB,Continuous Nearest Neighbor Search,2002,conf/vldb/TaoPS02
M. Tamer �zsu,SIGMOD Record,Chair's Message,2002,journals/sigmod/Ozsu02b
Frank Manola,SIGMOD Record,Towards a Richer Web Object Model,1998,journals/sigmod/Manola98
"Paolo Atzeni, Paolo Merialdo, Marco Pecorone, Marco Magnante, Giansalvatore Mecca",SIGMOD Conference,Homer: a Model-Based CASE Tool for Data-Intensive Web Sites,2000,conf/sigmod/MerialdoAMMP00
"Hanan Samet, Erik G. Hoel",VLDB,Performance of Data-Parallel Spatial Operations,1994,conf/vldb/HoelS94
Chris Eaton,SIGMOD Conference,Managing Large Systems with DB2 UDB,1998,conf/sigmod/Eaton98
"C. Mohan, Sailesh Krishnamurthy, Mehmet Altinel, Christof Bornh�vd, Hamid Pirahesh, Berthold Reinwald",SIGMOD Conference,DBCache: Middle-tier Database Caching for Highly Scalable e-Business Architectures,2003,conf/sigmod/BornhovdAKMPR03
"Yannis Papakonstantinou, Joachim Hammer, Jennifer Widom, Jeffrey D. Ullman, Hector Garcia-Molina, Kelly Ireland",SIGMOD Conference,"Information Translation, Mediation, and Mosaic-Based Browsing in the TSIMMIS System",1995,conf/sigmod/HammerGIPUW95
"Jun Rao, Kenneth A. Ross, Johannes Gehrke",SIGMOD Record,Reminiscences on Influential Papers,2003,journals/sigmod/RossGR03
Alexander A. Anisimov,SIGMOD Record,"Review of The data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by Ralph Kimball, Margy Ross. John Wiley & Sons, Inc. 2002",2003,journals/sigmod/Anisimov03
"Boon Thau Loo, Jennifer Widom, Chris Olston",SIGMOD Conference,Adaptive Precision Setting for Cached Approximate Values,2001,conf/sigmod/OlstonWL01
"Serge Abiteboul, Rajeev Motwani, Svetlozar Nestorov",SIGMOD Conference,Extracting Schema from Semistructured Data,1998,conf/sigmod/NestorovAM98
"Josef Burger, Jeffrey F. Naughton, Stratis Viglas",VLDB,Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,2003,conf/vldb/ViglasNB03
"Antonio Albano, Renzo Orsini, Giorgio Ghelli",VLDB J.,Fibonacci: A Programming Language for Object Databases,1995,journals/vldb/AlbanoGO95
"Mark R. Tuttle, David B. Lomet",SIGMOD Conference,A Theory of Redo Recovery,2003,conf/sigmod/LometT03
"John G. Hughes, David A. Bell, Sarabjot S. Anand",VLDB,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,1994,conf/vldb/AnandBH94
"Z. Meral �zsoyoglu, Tolga Bozkaya",SIGMOD Conference,Distance-Based Indexing for High-Dimensional Metric Spaces,1997,conf/sigmod/BozkayaO97
"Sena Nural Arpinar, Asuman Dogac",SIGMOD Record,Provision of Market Services for eCo Compliant Electronic Market Places,2000,journals/sigmod/ArpinarD00
Philip A. Bernstein,SIGMOD Record,Report on the 2001 SIGMOD and PODS Awards,2001,journals/sigmod/Bernstein01
"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin",VLDB,Disseminating Updates on Broadcast Disks,1996,conf/vldb/AcharyaFZ96
?,VLDB J.,"Title, Foreword, Preface to the Special Issue on Spatial Database Systems, Index Vol. 3",1994,journals/vldb/C94c
Jean-Luc Hainaut,SIGMOD Record,Research in database engineering at the University of Namur,2003,journals/sigmod/Hainaut03
"Mich�le Cart, Claire Morpain, Jean-Fran�ois Pons, Jean Ferri�",SIGMOD Conference,Maintaining Database Consistency in Presence of Value Dependencies in Multidatabase Systems,1996,conf/sigmod/MorpainCFP96
"Anat Eyal, Tova Milo",VLDB J.,Integrating and customizing heterogeneous e-commerce applications,2001,journals/vldb/EyalM01
"Ricky K. Taira, Ion Tim Ieong, Wesley W. Chu",VLDB J.,A Semantic Modeling Approach for Image Retrieval by Content,1994,journals/vldb/ChuIT94
"Yannis E. Ioannidis, Raghu Ramakrishnan, Philip A. Bernstein",VLDB J.,Guest editorial,2003,journals/vldb/BernsteinIR03
"Peter C. Lockemann, Bethina Schmitt, Michael Christoffel, Sebastian Pulkowski",SIGMOD Record,Electronic Market: The Roadmap for University Libraries and Members to Survive in the Information Jungle,1998,journals/sigmod/ChristoffelPSL98
"Jeannie Shands, Kenneth Salem, Hector Garcia-Molina",ACM Trans. Database Syst.,Altruistic Locking,1994,journals/tods/SalemGS94
Sunita Sarawagi,VLDB,Query Processing in Tertiary Memory Databases,1995,conf/vldb/Sarawagi95
"Martin Bichler, Arie Segev, J. Leon Zhao",SIGMOD Record,Component-based E-Commerce: Assesment of Current Practices and Future Directions,1998,journals/sigmod/BichlerSZ98
"Kaizhong Zhang, Dennis Shasha, Jason Tsong-Li Wang",SIGMOD Conference,"Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases",1995,conf/sigmod/WangZS95
"Olga Peschansky, Jos� Alberto Fern�ndez, Julie Basu",VLDB,Building Scalable Internet Applications with Oracle8i Server,2000,conf/vldb/BasuFP00
Michael Ubell,SIGMOD Conference,The Montage Extensible DataBlade Achitecture,1994,conf/sigmod/Ubell94
"Kenneth J. Goldman, Nancy A. Lynch",ACM Trans. Database Syst.,Quorum Consensus in Nested Transaction Systems,1994,journals/tods/GoldmanL94
Dean Kuo,ACM Trans. Database Syst.,Model and Verification of a Data Manager Based on ARIES,1996,journals/tods/Kuo96
"Yufei Tao, Dimitris Papadias",ACM Trans. Database Syst.,Spatial queries in dynamic environments,2003,journals/tods/TaoP03
"Jean-Robert Gruser, Vladimir Zadorozhny, Louiqa Raschid, Tao Zhan",VLDB J.,Learning Response Time for WebSources Using Query Feedback and Application in Query Optimization,2000,journals/vldb/GruserRZZ00
"Venky Harinarayan, Ashish Gupta, Anand Rajaraman",SIGMOD Record,Virtual Database technology,1997,journals/sigmod/GuptaHR97
"Anastassia Ailamaki, Johannes Gehrke",SIGMOD Record,Time management for new faculty,2003,journals/sigmod/AilamakiG03
"Michael G. Norman, Peter Thanisch, Thomas Zurek",SIGMOD Record,Much Ado About Shared-Nothing,1996,journals/sigmod/NormanZT96
"Torsten Suel, Xiaohui Long",VLDB,Optimized Query Execution in Large Search Engines with Global Page Ordering,2003,conf/vldb/LongS03
Surajit Chaudhuri,SIGMOD Conference,Query Optimization at the Crossroads (Panel),1997,conf/sigmod/Chaudhuri97
"Alon Y. Levy, Mary F. Fernandez, Jaewoo Kang, Daniela Florescu, Dan Suciu",SIGMOD Conference,STRUDEL: A Web-site Management System,1997,conf/sigmod/FernandezFKLS97
M. Tamer �zsu,SIGMOD Record,Chair's Message,2003,journals/sigmod/Ozsu03a
"Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",SIGMOD Conference,On Supporting Containment Queries in Relational Database Management Systems,2001,conf/sigmod/ZhangNDLL01
"Kemafor Anyanwu, Amit P. Sheth",SIGMOD Record,The p Operator: Discovering and Ranking Associations on the Semantic Web,2002,journals/sigmod/AnyanwuS02
Philip A. Bernstein,SIGMOD Record,Repositories and Object Oriented Databases,1998,journals/sigmod/Bernstein98
Ling Liu,SIGMOD Record,Editor's Notes,2002,journals/sigmod/Liu02a
"Steven D. Whitehead, Himanshu Sinha, Michael Murphy",VLDB,GTE SuperPages: Using IR Techniques for Searching Complex Objects,1997,conf/vldb/WhiteheadSM97
"Markus Schneider, Enrico Nardelli, Luca Forlizzi, Ralf Hartmut G�ting",SIGMOD Conference,A Data Model and Data Structures for Moving Objects Databases,2000,conf/sigmod/ForlizziGNS00
Asuman Dogac,SIGMOD Record,Middle East Technical University Software Research and Development Center,1996,journals/sigmod/Dogac96
"Padmavathi Vallabhaneni, Daniel Barbar�, Walid G. Aref",SIGMOD Conference,The Handwritten Trie: Indexing Electronic Ink,1995,conf/sigmod/ArefBV95
"F�lix Saltor, Mark Roantree, Mark W. W. Vermeer, Wilhelm Hasselbring, Martin Sch�nhoff, Markus Str�ssler, Barry Eaglestone, Stefan Conrad",SIGMOD Record,Research Issues in Federated Database Systems: Report of EFDBS '97 Workshop,1997,journals/sigmod/ConradEHRSSSV97
"Piotr Indyk, Sudipto Guha, Nitin Thaper, Nick Koudas",SIGMOD Conference,Dynamic multidimensional histograms,2002,conf/sigmod/ThaperGIK02
"Kotagiri Ramamohanarao, Justin Zobel, Alistair Moffat",ACM Trans. Database Syst.,Inverted Files Versus Signature Files for Text Indexing,1998,journals/tods/ZobelMR98
"Jaideep Srivastava, Jianzhong Li, Doron Rotem",VLDB,Aggregation Algorithms for Very Large Compressed Data Warehouses,1999,conf/vldb/LiRS99
"Nevzat Hurkan Balkir, Gultekin �zsoyoglu",VLDB J.,Delivering Presentations from Multimedia Servers,1998,journals/vldb/BalkirO98
"A. R. Hurson, Simin H. Pakzad, M. W. Bright",ACM Trans. Database Syst.,Automated Resolution of Semantic Heterogeneity in Multidatabases,1994,journals/tods/BrightHP94
M. Tamer �zsu,SIGMOD Record,Chair's Message,2001,journals/sigmod/Ozsu01
Karl Aberer,SIGMOD Record,Book Review Column,2002,journals/sigmod/Aberer02b
"David J. DeWitt, Jianjun Chen, Chun Zhang, Feng Tian",SIGMOD Record,The Design and Performance Evaluation of Alternative XML Storage Strategies,2002,journals/sigmod/TianDCZ02
"Raghu Ramakrishnan, Yannis E. Ioannidis",ACM Trans. Database Syst.,Containment of Conjunctive Queries: Beyond Relations as Sets,1995,journals/tods/IoannidisR95
"Margaret H. Dunham, Abdelsalam Helal",SIGMOD Record,From the Guest Editors - Special Section on Data Management Issues in Mobile Computing,1995,journals/sigmod/DunhamH95
"Yang-Sae Moon, Young-Koo Lee, Il-Yeol Song, Kyu-Young Whang",VLDB,A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,2002,conf/vldb/LeeWMS02
"Jayant R. Haritsa, Devavrat Shah, S. Sudarshan, Pradeep Shenoy, Mayank Bawa, Gaurav Bhalotia",SIGMOD Conference,Turbo-charging Vertical Mining of Large Databases,2000,conf/sigmod/ShenoyHSBBS00
"Praveen Seshadri, Mark Paskin",SIGMOD Conference,PREDATOR: An OR-DBMS with Enhanced Data Types,1997,conf/sigmod/SeshadriP97
