title,year,authors,venue
Using unknowns to prevent discovery of association rules,2001,"Y&#252;cel Saygin, Vassilios S. Verykios, Chris Clifton",ACM SIGMOD Record
Mining e-mail content for author identification forensics,2001,"O. de Vel, A. Anderson, M. Corney, G. Mohay",ACM SIGMOD Record
Interviewing during a tight job market,2002,"Zachary G. Ives, Qiong Luo",ACM SIGMOD Record
Career forum,2002,Alexandros Labrinidis,ACM SIGMOD Record
Database research at the University of Illinois at Urbana-Champaign,2002,"M. Winslett, K. Chang, A. Doan, J. Han, C. Zhai, Y. Zhou",ACM SIGMOD Record
Research centers,2002,Amit Sheth,ACM SIGMOD Record
Reminiscences on Influential Papers,2000,Kenneth A. Ross,ACM SIGMOD Record
Research activities in database management and information retrieval at University of Illinois at Chicago,2002,"Isabel Cruz, Ashfaq Khokhar, Bing Liu, Prasad Sistla, Ouri Wolfson, Clement Yu",ACM SIGMOD Record
XQuery formal semantics state and challenges,2001,Peter Fankhauser,ACM SIGMOD Record
Advanced XML data processing: guest editor's introduction,2001,Karl Aberer,ACM SIGMOD Record
Why and how to benchmark XML databases,2001,"Albrecht Schmidt, Florian Waas, Martin Kersten, Daniela Florescu, Michael J. Carey, Ioana Manolescu, Ralph Busse",ACM SIGMOD Record
A general technique for querying XML documents using a relational database system,2001,"Jayavel Shanmugasundaram, Eugene Shekita, Jerry Kiernan, Rajasekar Krishnamurthy, Efstratios Viglas, Jeffrey Naughton, Igor Tatarinov",ACM SIGMOD Record
On database theory and XML,2001,Dan Suciu,ACM SIGMOD Record
Wrapping web data into XML,2001,"Wei Han, David Buttler, Calton Pu",ACM SIGMOD Record
"Preservation of digital data with self-validating, self-instantiating knowledge-based archives",2001,"Bertram Lud&#228;scher, Richard Marciano, Reagan Moore",ACM SIGMOD Record
XML document versioning,2001,"Shu Yao Chien, Vassilis J. Tsotras, Carlo Zaniolo",ACM SIGMOD Record
The evolution of effective B-tree: page organization and techniques: a personal account,2001,David Lomet,ACM SIGMOD Record
Articles,2001,Avigdor Gal,ACM SIGMOD Record
The aditi deductive database system,1994,"Jayen Vaghani, Kotagiri Ramamohanarao, David B. Kemp, Zoltan Somogyi, Peter J. Stuckey, Tim S. Leask, James Harland",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Efficiently instantiating view-objects from remote relational databases,1994,"Byung Suk Lee, Gio Wiederhold",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The CORAL deductive system,1994,"Raghu Ramakrishnan, Divesh Srivastava, S. Sudarshan, Praveen Seshadri",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
DECLARE and SDS: early efforts to commercialize deductive database technology,1994,"Werner Kie&#223;ling, Helmut Schmidt, Werner Strau&#223;, Gerhard D&#252;nzinger",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
An introduction to deductive database languages and systems,1994,"Kotagiri Ramamohanarao, James Harland",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
"The glue-nail deductive database system: design, implementation, and evaluation",1994,"Marcia A. Derr, Shinichi Morishita, Geoffrey Phipps",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Versioning and configuration management in an object-oriented data model,1994,Edward Sciore,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Special issue on prototypes of deductive database systems,1994,K. Ramamohanarao,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Qualitative representation of spatial knowledge in two-dimensional space,1994,"Dimitris Papadias, Timos Sellis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The TV-tree: an index structure for high-dimensional data,1994,"King Ip Lin, H. V. Jagadish, Christos Faloutsos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Management of multidimensional discrete data,1994,Peter Baumann,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
A semantic modeling approach for image retrieval by content,1994,"Wesley W. Chu, Ion T. Ieong, Ricky K. Taira",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Special issue on spatial database systems,1994,H. J. Schek,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
An introduction to spatial database systems,1994,Ralf Hartmut G&#252;ting,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The demarcation protocol: a technique for maintaining constraints in distributed database systems,1994,"Daniel Barbar&#225;-Mill&#225;, Hector Garcia-Molina",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Index configuration in object-oriented databases,1994,Elisa Bertino,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
SQL multimedia and application packages (SQL/MM),2001,"Jim Melton, Andrew Eisenberg",ACM SIGMOD Record
Standards,2001,Andrew Eisenberg,ACM SIGMOD Record
Describing semistructured data,2001,Luca Cardelli,ACM SIGMOD Record
Database principles,2001,Leonid Libkin,ACM SIGMOD Record
Information warfare and security,2001,H. V. Jagadish,ACM SIGMOD Record
"Transactional information systems: theory, algorithms, and the practice of concurrency control and recovery",2001,Marc H. Scholl,ACM SIGMOD Record
Book review column,2001,Karl Aberer,ACM SIGMOD Record
Book reviews,2001,Karl Aberer,ACM SIGMOD Record
A pattern-based object calculus,1994,"Nabil Kamel, Ping Wu, Stanley Y. W. Su",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Dynamic maintenance of data distribution for selectivity estimation,1994,"Kyu Young Whang, Sang Wook Kim, Gio Wiederhold",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Chronological scheduling of transactions with temporal dependencies,1994,"Dimitrios Georgakopoulos, Marek Rusinkiewicz, Witold Litwin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Research in multi-organizational processes and semantic information brokering at the LSDIS lab,2001,"Amit Sheth, John Miller, Krys Kochut, Budak Arpinar",ACM SIGMOD Record
Research centers,2001,Amit Sheth,ACM SIGMOD Record
On the academic interview circuit: an end-to-end discussion,2001,U&#287;ur &#199;etintemel,ACM SIGMOD Record
Career forum,2001,Alexandros Labrinidis,ACM SIGMOD Record
Java support for data-intensive systems: experiences building the telegraph dataflow system,2001,"Mehul A. Shah, Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein",ACM SIGMOD Record
Special section on semantic web and data management,2002,"Robert Meersman, Amit Sheth",ACM SIGMOD Record
Data modelling versus ontology engineering,2002,"Peter Spyns, Robert Meersman, Mustafa Jarrar",ACM SIGMOD Record
Methodology for development and employment of ontology based knowledge management applications,2002,"York Sure, Steffen Staab, Rudi Studer",ACM SIGMOD Record
A conceptual architecture for semantic web enabled web services,2002,"Christoph Bussler, Dieter Fensel, Alexander Maedche",ACM SIGMOD Record
Sleepers and workaholics: caching strategies in mobile environments (extended version),1995,"Daniel Barbar&#225;, Tomasz Imieli&#324;ski",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
AlphaSort: a cache-sensitive parallel external sort,1995,"Chris Nyberg, Tom Barclay, Zarka Cvetanovic, Jim Gray, Dave Lomet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
QuickStore: a high performance mapped object store,1995,"Seth J. White, David J. DeWitt",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Estimating page fetches for index scans with finite LRU buffers,1995,"Arun Swami, K. Bernhard Schiefer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Emergent semantics and the multimedia semantic web,2002,"W. I. Grosky, D. V. Sreenath, F. Fotouhi",ACM SIGMOD Record
Querying multiple bioinformatics information sources: can semantic web research help?,2002,"David Buttler, Matthew Coleman, Terence Critchlow, Renato Fileto, Wei Han, Calton Pu, Daniel Rocco, Li Xiong",ACM SIGMOD Record
The Grid: an application of the semantic web,2002,"Carole Goble, David De Roure",ACM SIGMOD Record
Book reviews,2002,Karl Aberer,ACM SIGMOD Record
"Agents, trust, and information access on the semantic web",2002,"Tim Finin, Anupam Joshi",ACM SIGMOD Record
Conceptual model of web service reputation,2002,"E. Michael Maximilien, Munindar P. Singh",ACM SIGMOD Record
The &#961; operator: discovering and ranking associations on the semantic web,2002,"Kemafor Anyanwu, Amit Sheth",ACM SIGMOD Record
A framework for semantic gossiping,2002,"Karl Aberer, Philippe Cudr&#233;-Mauroux, Manfred Hauswirth",ACM SIGMOD Record
Updating knowledge bases while maintaining their consistency,1995,"Ernest Teniente, Antoni Oliv&#233;",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Data model for extensible support of explicit relationships in design databases,1995,"Joan Peckham, Bonnie MacKellar, Michael Doherty",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
InterViso: dealing with the complexity of federated database access,1995,"Marjorie Templeton, Herbert Henley, Edward Maros, Darrel J. Van Buer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Realm-based spatial data types: the ROSE algebra,1995,"Ralf Hartmut G&#252;ting, Markus Schneider",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
HyperFile: a data and query model for documents,1995,"Chris Clifton, Hector Garcia-Molina, David Bloom",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The software information base: a server for reuse,1995,"Panos Constantopoulos, Matthias Jarke, John Mylopoulos, Yannis Vassiliou",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Characterization of database access pattern for analytic prediction of buffer hit probability,1995,"Asit Dan, Philip S. Yu, Jen Yao Chung",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Ordered shared locks for real-time databases,1995,"Divyakant Agrawal, Amr El Abbadi, Richard Jeffers, Lijing Lin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Historical queries along multiple lines of time evolution,1995,"Gad M. Landau, Jeanette P. Schmidt, Vassilis J. Tsotras",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
"Adaptable pointer swizzling strategies in object bases: design, realization, and quantitative analysis",1995,"Alfons Kemper, Donald Kossmann",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Special system-oriented section: the best of SIGMOD '94,1995,Stanley Y. W. Su,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The power of languages for the manipulation of complex values,1995,"Serge Abiteboul, Catriel Beeri",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Fibonacci: a programming language for object databases,1995,"Antonio Albano, Giorgio Ghelli, Renzo Orsini",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Orthogonally persistent object systems,1995,"Malcolm Atkinson, Ronald Morrison",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Themis: a database programming language handling integrity constraints,1995,"V&#233;ronique Benzaken, Anne Doucet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Tigukat: a uniform behavioral objectbase management system,1995,"M. Tamer &#214;zsu, Randal Peters, Duane Szafron, Boman Irani, Anna Lipka, Adriana Mu&#241;oz",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Rate-based query optimization for streaming information sources,2002,"Stratis D. Viglas, Jeffrey F. Naughton",International Conference on Management of Data
An adaptive peer-to-peer network for distributed caching of OLAP results,2002,"Panos Kalnis, Wee Siong Ng, Beng Chin Ooi, Dimitris Papadias, Kian-Lee Tan",International Conference on Management of Data
Efficient integration and aggregation of historical information,2002,"Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",International Conference on Management of Data
Archiving scientific data,2002,"Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",International Conference on Management of Data
Efficient evaluation of queries in a mediator for WebSources,2002,"Vladimir Zadorozhny, Louiqa Raschid, Maria Esther Vidal, Tolga Urhan, Laura Bright",International Conference on Management of Data
Best-effort cache synchronization with source cooperation,2002,"Chris Olston, Jennifer Widom",International Conference on Management of Data
Processing complex aggregate queries over data streams,2002,"Alin Dobra, Minos Garofalakis, Johannes Gehrke, Rajeev Rastogi",International Conference on Management of Data
Continuously adaptive continuous queries over streams,2002,"Samuel Madden, Mehul Shah, Joseph M. Hellerstein, Vijayshankar Raman",International Conference on Management of Data
Reports,2002,Avigdor Gal,ACM SIGMOD Record
Reminiscences on influential papers,2002,Kenneth A. Ross,ACM SIGMOD Record
