title,starring,entityUrl,writer,editor
,Ashley Laurence,Match656,C. Courtney Joyner,
Tutti a casa,Serge Reggiani,Match22790,Luigi Comencini,
"The Good, the Bad and the Ugly",Al Mulock,Match17553,Luciano Vincenzoni,
,Zach Braff,Match15091,Gabriele Muccino,
Monsieur N.,Richard Grant Esterhuysen,Match13625,René Manzor,
,Stanislas Pascal Franchot Tone,Match18922,Corinne Anita Loos,
Raza,Alfredo Mayo,Match1795,Francisco Franco,
The Passion of Joan of Arc,Eugene Silvain,Match17690,Joseph Delteil,
The Burning Plain,Kimila Ann Basinger,D11951,Guillermo Arriaga,
Parental Guidance Suggested,Margo Harshman,D11952,Will Forte,
,Ernest Frederick McIntyre Bickel,Match22125,Cyril Roberts,
,Raiford Chatman Davis,Match13055,Abby Mann,
So Close to Paradise,Shi Yu,Match17591,Wang Xiaoshuai,
,Elroy Hirsch,Match11401,Prisoners are People,
,Dino Morea,Match15076,,
,Padmini Kohlapure,Match2682,,
The Apple,Catherine Mary Nursall,Match18743,Iris Recht,
Killers from Space,Barbara Bestar,Match21840,Myles Wilder,
Saving Grace,Brenda Ann Bottle,Match16830,Mark Crowdy,
Le Corbeau,Pierre Larquey,Match2348,Henri Chavance,
,,D11963,Katherine Ramsland,
,,D11964,Richard Dawkins,
Night Monster,Bela Lugosi,Match21324,Clarence Upson Young,
Slayers Return,,D11966,Hajime Kanzaka,
Variety Lights,Carla Del Poggio,Match10174,,
The Black Stallion Returns,Teri Garr,Match18150,Walter Farley,
Dog Eat Dog,Gary Kemp,D11969,Moody Shoaibi,
,Joan Goodfellow,Match8027,Ron Barton,
,Ekin Cheng,D11971,,
Bagdad Cafu00E9,Marianne Sägebrecht,Match12593,"Eleonore Adlon
 Percy Adlon",
The Good Girl,John C. Reilly,Match15943,Michael Christopher White,
,Barbara Brantingham,Match17590,Winston Miller,
Amar Shakti,,Match19391,,
,David Arnott,D11976,Harry Ralston,
Mee-Shee: The Water Giant,Tom Jackson (actor),Match21417,Barry Authors,
,Preston Foster,Match21658,Mickey Spillane,
Hoot,Tim Blake Nelson,Match13387,Carl Hiassen,
Buffalo Soldiers,Anna Helene Paquin,Match12693,Gregor Jordan,
21-87,,Match19755,,
Kirikou and the Sorceress,Antoinette Kellermann,Match11967,Michel Ocelot,
Little Children,Jennifer Lynn Connelly,Match19675,William Todd Field,
,Jestoni Alascon,Match17440,Keiko Aquino,
True True Lie,Yasmin Paige,Match19207,"Camille Solari
Gary Humphreys",
The Tripper,Rick Overton,D11986,Joe Harris (filmmaker),
,Greta Scacchi,Match7405,Frank Moorhouse,
,u4E09u77F3u7434u4E43,Match20750,Lisa Lumby-Richards,
,Jafar Valli,D11989,True story,Gorgin Grigorians
,Charlotte Alexandra,Match11488,Catherine Breillat,
,Karishma Kapoor,D11991,Krishna Vamsi,
The Grudge,Rosa Blasi,Match20942,Stephen Susco,
,Olympia Dukakis,Match12741,Sam Catlin,
Death in Brunswick,Nigel John Dermot Neill,Match6969,John Ruane (director),
Gods and Generals,Brian Mallon,Match11507,,
Frankenweenie,Shelley Alexis Duvall,Match15615,Timothy William Burton,
,Doug Stanhope,Match22353,,
Marilyn Hotchkiss' Ballroom Dancing and Charm School,Marisa Tomei,Match11278,Randall Miller,
Inchon,Laurence Kerr Olivier,Match19118,Robin Moore,
Useless,Ma Ke,D12000,,
,Alberto Jiménez,Match19075,,
Bednye rodstvenniki,Konstantin Khabensky,Match8703,,
,Luigina Lollobrigida,Match10199,Ettore Maria Margadonna,
,Ly Abdoulay,Match14781,Ousmane Sembene,
Madame Bovary,Phylis Lee Isley,Match18124,Robert Ardrey,
Bashing,Fusako Urabe,Match19065,Kobayashi Masahiro,
,Eddie Griffin,Match19640,"Michael A. Nickles
Julia Wall",
Angora Love,Harry Bernard,Match15853,Thomas Leo McCarey,
,Rajiv Hari Om Bhatia,Match19722,Suneel Darshan,
Cleaner,Keke Palmer,D12010,Matthew Aldrich,
Bulworth,Donald Frank Cheadle,Match22279,Jeremy Pikser,
,Navdeep,D12012,,
,William S. Burroughs,Match6266,David Blair,
Napoleon Dynamite,Emily Kennard,Match16569,Jerusha Hess,
Darkness,Giancarlo Giannini,Match11849,Fernando de Felipe,
Baby Boom,Sam Shepard,Match18847,"Nancy Meyers
Charles Shyer",
Molly,Aaron Edward Eckhart,Match11807,Dick Christie,
Best of the Best 2,Phillip Rhee,D12018,John Allen Nelson,
Squabs and Squabbles,Oliver Hardy,Match17609,Anthony Coldeway,
Seven Chances,T. Roy Barnes,Match7249,David Belasco,Buster Keaton (uncredited)
Bad Influence,James Todd Spader,Match12592,David Koepp,
,Miguel Angel Novo,Match12695,"Mario Xavier
Mike Hicks",
Tinkering with Trouble,Harold Lloyd,Match5815,Dolly Twist,
Now and Then,Melanie Richards Griffith,Match14475,I. Marlene King,
Police Academy: Mission to Moscow,David Graf,D12025,Pat Proft,
Feeding Sea Lions,,Match13612,Lubin Studios,
,Araceli Jover,Match5144,Tommy Lee Wallace,
,Bob Mercer,D12028,"Andre Berly
Ramli Hassan
Oliver Knott",
,Govinda (actor),Match16483,,
,Ellen Jaclyn Smith,D12030,Jim Moloney,
,Monty Ross,Match9974,Shelton Jackson Lee,
A Happy Coersion,Perry Banks,D12032,Theodosia Harris,
Nightmare in the Sun,Aldo DaRe,Match4323,George Fass,
,Chris Sanders,Match4866,Jess Winfield,
,Elise Cavanna,Match14562,W.C. Fields,
The War at Home,Ramu00F3n Gerardo Antonio Estu00E9vez,Match11769,James Duff,
The Boys from Brazil,James Neville Mason,D12037,Ira Levin,
Get Real,Ben Silverstone,Match10487,Patrick Wilde,
An Aerial Joyride,Oliver Hardy,Match3720,,
Savannah Smiles,Mark Miller (actor),Match14396,Mark Miller (actor),
,Lionel Herbert Blythe,Match8948,Edward J. Montagne,
Duplicate,Sonali Bendre,Match12234,Javed Siddiqui,
,Ustad Bismillah Khan,Match5943,Tarashankar Bandopadhyay,
The 601st Phone Call,Hu Ge (actor),Match14643,Zou Jingzhi,
K-19: The Widowmaker,William John Neeson,Match12154,Louis Nowra,
Bound,Jennifer E. Chan,Match10715,Wachowski Brothers,
Suburbia,Chris Pedersen,Match4128,Penelope Spheeris,
,Grunato family,Match17961,,
When Father Was Away on Business,Mira Furlan,Match14046,Abdulah Sidran,
,Ross McCall,Match15792,Declan O'Brien,
,Manisha B. Koirala,Match3816,Kamal Haasan,
,Mary Frances Gifford,Match15886,Joseph F. Poland,
Naughty Marietta,Jeanette Anna MacDonald,Match3418,John Lee Mahin,
,Shabana Azmi,Match19695,,
Une femme coquette,"Maria Lysandre
Roland Tolma",Match8373,Guy de Maupassant,
,Ruth Elizabeth Davis,Match10509,Dashiell Hammett,
,Zeenat Aman,Match3756,,
Dune (TV miniseries),William Hurt,Match6424,Frank Herbert,
The Siege,Walter Bruce Willis,Match11802,Lawrence Wright,
Nightmare Weekend,Andrea Thompson,Match6739,George Faget-Benard,
Reign Over Me,Adam Richard Sandler,Match8670,Mike Binder,
,Maeve Quinlan,Match3230,Robert Dean Klein,
,Zelda Rubinstein,Match18925,Bigas Luna,
,,D12064,Jenni Olson,
Blood Oranges,Colin Lane,D12065,John Hawkes,
Puppet Master vs. Demonic Toys,Corey Scott Feldman,Match19400,David S. Goyer,
Family Honeymoon,Rita Johnson,Match7760,Dane Lussier,
Young Man With a Horn,Betty Joan Perske,Match11527,Carl Foreman,
Iraq for Sale: The War Profiteers,Janis Karpinski,Match2890,,
Beyond the Law,Michael Madsen,Match2437,Larry Ferguson,
A Country Hero,Joseph Frank Keaton VI,Match9958,Roscoe Arbuckle,
,Folker Bohnet,Match9638,Karl-Wilhelm Vivier,
Leading Lizzie Astray,Roscoe Arbuckle,Match4681,,
,Kurt McKinney,Match13080,Ng See-Yuen,
Band of Angels,Sidney Poitier,Match12446,Ivan Goff,
Autumn Moon,Pui-Wai Li,D12076,Eddie Ling-Ching Fong,
,George Eastman (actor),Match11596,George Eastman (actor),
,Morgan Freeman,Match1810,David J. Burke,
,See list,D12079,Frederick Bailey and Bob Couttie,
The Kid,Walter Bruce Willis,Match8642,Audrey Wells,
Affair in Trinidad,Gwyllyn Samuel Newton Ford,Match5037,Berne Giler,
,Kulbushan Pandit,Match12616,,
U.F.O.,Sara Stockbridge,Match7790,Roy 'Chubby' Brown,
House of Dark Shadows,Jon Roger Davis,Match2610,Sam Hall,
Super Sweet 16: The Movie,Amanda Joy Michalka,D12085,,
,Shabana Azmi,Match14687,Tony Gerber,
,Ann Magnuson,Match9367,Joe Eszterhas,
Rollerball,Juan Moreno y Herrera Jimu00E9nez,Match4356,John Pogue,
,Tom Laughlin (actor),Match9688,Delores Taylor,
Newsfront,Gerard Kennedy (actor),Match6782,Phillip Noyce,
Killer Condom (Kondom des Grauens),"Udo Samel
Peter Lohmeyer
Marc Richter
Leonard Lansink
Iris Berben",Match11744,Ralf König,
,Ryunosuke Ohbayashi,Match12898,Kazunori Ito,
,"Maurice Chevalier, Edward Everett Horton",Match7054,"Benjamin Glazer, Roy Horniman (novel Bellamy The Magnificent), Nunnally Johnson, Waldemar Young (screenplay)",
,John Heard,Match15970,Horton Foote,
Zombi 2,Olga Karlatos,Match9244,Dardano Sacchetti,
Miss Pettigrew Lives for a Day,Amy Adams (actress),D12096,David Magee,
,Jagathy Sreekumar,Match13563,A. K. Lohithadas,
,en .,D12098,Jay On,
The Truth About Cats & Dogs,Eric Marlon Bishop,Match5152,Audrey Wells,
Spy Hard,Leslie William Nielsen,Match3845,Dick Chudnow,
Texas Lady,Lily Claudette Chauchoin,Match3716,Horace McCoy,
Os Faroleiros,Manuel F. Araujo,Match2741,Monteiro Lobato,
,Henry Jackson Thomas Jr.,Match3638,Everett De Roche,
,Melanie Mayron,Match4968,Vicki Polon,
,Charles William Haines,Match11098,,
Twice-Told Tales,"Vincent Leonard Price, Jr.",Match1855,Nathaniel Hawthorne,
Sonatine,Aya Kokumai,Match10109,Takeshi Kitano,
Filmfare Best Movie Award,Sudhir Kumar,Match3626,Ban Bhatt,
Tell Your Children,Doris Eaton Travis,Match9160,"Leslie Howard Gordon
Rachel Macnamara",
,Milburn Stone,Match6968,Sydney Boehm,
,Deepti Naval,Match3869,,
When Billie Beat Bobby,Holly P. Hunter,Match9152,,
,Pat Corley,Match21588,Paul Tamasy,
Nakili Manishi,Konidela Siva Sankara Vara Prasad,Match4947,Maruthirao Gollapudi,
,Heikki Kinnunen,Match5375,Matti Kassila,
The Littlest Hobo 1958 film,"Buddy Hart
Wendy Stuart
Carlyle Mitchell
Howard Hoffman",Match1790,Dorrell McGowan,
Coast to Coast,Judy Davis,D12117,Frederic Raphael,
,Tommy Chong,Match3535,Steve Hager,
,Michael Moriarty,D12119,James Dixon,
Red Ensign,Leslie Banks,Match6260,Jerome Jackson,
,Spencer Bonaventure Tracy,Match2788,Henry Troyat,
30 hari mencari cinta,Maria Agnes,Match16917,,
Reach for Glory,Kay Walsh,Match10073,John Rae (educator),
The Narrow Margin,Charles McGraw,Match751,Martin Goldsmith,
,Juliet Anne Prowse,Match22303,Henry Garson,
Trader Horn,Duncan Renaldo,Match16859,Richard Schayer,
A Ride for a Bride,Roscoe Arbuckle,Match7497,,
,Anna Maria Louisa Italiano,Match496,Mitch Glazer,
Ten Canoes,Jamie Gulpilil,Match127,,
Dharavi,Om Puri,Match12992,Sudhir Mishra,
What Would Jesus Buy?,,D12131,,
The Wizard of Oz,Francis Phillip Wuppermann,Match4013,L. Frank Baum,
The Bride Wore Black,Michel Bouquet,Match11345,Cornell Woolrich,
,Revathi,D12134,,
,Robert Selden Duvall,Match12503,Philip Railsback,
Spider-Man 4,James Edward Franco,D12136,James Vanderbilt,
The Hunchback of Notre Dame,Nigel de Brulier,Match22231,Perley Poore Sheehan,
,Denise Mora,Match10985,Steven Paul Contreras,
,Katheryn Winnick,Match9611,Joel Soisson,
,"Tony Jay
Willy Laszlo
Beka
 Ed Bertagnoli
Tom Ciappa",D12140,John Borowski,
Ginger Snaps,Emily Jean Perkins,Match12829,Karen Walton,
Anatomy,Franka Potente,Match12076,Stefan Ruzowitzky,
Nirvana Street Murder,Mary Coustas,Match4988,Aleksi Vellis,
,Takashi Onozuka,Match21177,Yoshiki Sakurai,
,Chow Yun-Fat,Match21587,Yusen Wu,
Jungle Woman,Milburn Stone,Match6633,Henry Sucher,
Gulliver's Travels,Lanny Ross,Match12401,Tedd Pierce,
,Dana Davis,D12148,,
Remarkable Power,Dule Hill,D12149,"Brandon Beckner
Scott Sampila",
,"Randeep Hooda
Chunky Pandey
Rukhsar
Isha Koppikar
Yashpal Sharma
Sushant Singh
Goga Kapoor
Ishrat Ali
Nagesh Bhonsle",Match10053,Manish Gupta,
Il Posto,Mara Revel,Match1913,"Ettore Lombardo
Ermanno Olmi",
The Snow Hawk,Arthur Stanley Jefferson,Match21692,Tay Garnett,
Dhan Dhana Dhan Goal,Bipasha Basu,D12153,Rohit Malhotra,
,George William Crisp,Match22823,Jack Cunningham (screenwriter),
Wings Up,William Clark Gable,Match5023,,
Wes Craven's New Nightmare,Heather Langenkamp,Match3893,Wes Craven,
,Madhabi Mukherjee,Match21978,Rabindranath Tagore,
Thirteen Days,Kevin Michael Costner,Match2626,David Self,
The Love Parade,Maurice Auguste Chevalier,Match22808,Ernest Vajda,
,Bernard Schwartz,Match4325,Harry Kurnitz,
,Babita,Match20915,,
The Master Cracksman,Harry Carey,Match20625,Harry Carey,
,David Dacko,D12163,Werner Stipetiu0107,
Better Times,ZaSu Pitts,Match6669,King Wallis Vidor,
Bloodfist II,Steve Rogers,Match4360,Catherine Cyran,
,Kamal Haasan,D12166,,
,Michael Hordern,D12167,Ian La Frenais,
Army of Shadows,Lino Ventura,Match6354,Joseph Kessel,
When the Cat's Away,"Garance Clavel
Zinedine Soualem
Renu00E9e Le Calm",Match3052,Cu00E9dric Klapisch,
,David Gahan,Match356,Depeche Mode,
Blind Shaft,Wang Shuangbao,Match3775,Li Yang (director),
Haunted Spooks,Harold Lloyd,Match1385,H. M. Walker,
,Helen Elizabeth Hunt,Match268,Lawrence Lasker,
Farewell to the King,Frank McRae,Match1771,Pierre Schu0153ndu0153rffer,
The Shining,Shelley Alexis Duvall,Match1968,Stephen King,
,"David Bark-Jones
Helena Bonham-Carter
Peter Serafinowicz
Catherine Tate
Stephen Rea",Match7182,"Bridget O'Connor
Peter Straughan",
For Your Consideration,Michael McKean,Match3736,Christopher Haden-Guest,
The Adventures of Baron Munchausen,Peter Jeffrey,Match9472,Terence Vance Gilliam,Peter Hollywood
,Kari Ketonen,Match5184,Liisa Helminen,
Cats' Play,,Match5312,István Örkény,
,Pu00E1l Luku00E1cs,Match9341,"Michael Lennox (story)
George Zuckerman	(story)
Rian James
Leonard Lee",
,Kalpana Pandit,Match17160,Ashok Mehta,
,,Match9412,"Stephen Bowles
 Peter A. Zorn Jr.",
All the Young Men,Sidney Poitier,Match22575,Hall Bartlett,
Coyote Ugly,Kathryn Bridget Moynahan,Match6210,Gina Wendkos,
,Lane Chandler,Match17598,,
,Raj Kaur Sachdev,Match5633,Dharmavir Bharati,
,Rajnikanth,D12188,,
,Yasmine Amanda Bleeth,Match9354,Edith Rey,
,Kenji Kohashi,D12190,Shunji Iwai,
,Miriama Smith,D12191,Harry Sinclair,
Cinta dalam sepotong roti,,D12192,,
Fatty's Gift,Roscoe Arbuckle,Match22479,,
Cake,Bruce Gray,Match10746,Tassie Cameron,
Paycheck,Benjamin Gu00E9za Affleck,Match6951,Dean Georgaris,
,Robin Byrd,Match21752,Maria Minestra,
Counterattack! The Underground Space Choujin,Eiji Kanie,Match7843,Haruya Yamazaki,
A Cause to Kill,,Match7869,,
Bodysong,,Match5806,Simon Pummell,
,"Sean Williams, Jessica Care Moore, Beau Sia",D12200,,
,Dina Merrill,Match18924,Paul King,
Satanic,Jeffrey Alan Combs,Match21101,Ben Powell,
On the Jump,Harold Lloyd,Match22352,,
,Emiko Aizawa,Match18530,Keiji Hasebe,
,Irene Joan Marian Sims,D12205,Charles Dickens,
The Way to the Stars,Basil Radford,Match529,John Pudney,
Meteor,Robert Keith Richey Jr.,Match22396,"Stanley Mann
Edmund H. North",
The Score,Angela Bassett,Match18030,Daniel E. Taylor,
Academy Award for Best Picture,Lucille Fay LeSueur,Match6671,William A. Drake,
Sweetie,Jon Darling,Match7798,Gerard Lee,
,John Polson,Match6706,David Caesar,
,Charles Dennis Buchinsky,D12212,,
Concorrenza sleale,Diego Abatantuono,Match20184,Giacomo Scarpelli,
Prospero's Books,Michael Clark (dancer),Match1668,Peter Greenaway,
Farewell My Concubine,Gong Li,Match8739,Lilian Lee,
Be Big!,Oliver Hardy,Match3625,H.M. Walker,
,Shirley Jane Temple,Match16181,Edwin J. Burke,
The Hungry Actors,Harold Lloyd,Match17463,,
Eyewitness,Arthur Christopher Orme Plummer,Match8696,Steve Tesich,
,Kentotis Alvin Foree,Match15945,Michele Soavi,
Wonderland,Lisa V. Kudrow,Match4371,James Cox (director),
Scaramouche,Melchor Gaston Ferrer,Match8706,George Froeschel,
,Kelly Sheridan,D12223,,
,Rie Miyazawa,Match16650,Hirokazu Koreeda,
,Jennifer Marie Morrison,Match4150,Richard Matheson,
Dukes of Hazzard: The Beginning,Adam Shulman,D12226,Shane Morris,
Who Is Killing the Great Chefs of Europe?,Winfred Jacqueline Fraser-Bisset,Match5640,Peter Stone,
,Sherwin David Harris,Match18032,Matthew Cirulnick and Thulani Davis,
,Carmencita,Match8550,,
,Dharmendra,Match3969,,
Palme d'Or,Harry Dean Stanton,Match375,L.M. Kit Carson,
,Ivy Ling Po,D12232,Wong Fung,
,Daniel Edward Aykroyd,Match563,Tom Schiller,
,Frederick Aaron Savage,Match6552,"Susan Shadburne
Virginia Theimer Clapper",
Breakfast at Tiffany's,"Christian Rudolph Ebsen, Jr.",Match3435,Truman Capote,
Ramrod,Constance Frances Marie Ockelman,Match7991,Cecile Kramer,
Frenzy,Barry Foster (actor),Match6292,Anthony Shaffer,
Last Action Hero,Charles Dance,Match20459,David Arnott,
The Children's Hour,Shirley MacLean Beaty,Match2393,John Michael Hayes,
Envy,Ronald Walken,Match3884,Steve Adams,
The Lure of Hollywood,Virginia Brooks,Match20320,Jack Townley,
,"Jimmy Shergill,Rahul Dev,Sameer Dharmadhikari,Akshay Anand,Shamita Shetty,Divya Dutta,Richa Pallod,Kulbhushan Kharbanda,Aashish Vidyarthi,Vrajesh Hirjee,Benjamin Gilani,Kiran Kumar,Anang Desai,Vishwajeet Pradhan,Dayashanker Pandey,Bakul Thakkar",D12242,,
Mosaic,Nicole Oliver,D12243,Stanley Martin Lieber,
,Cathy Barry,Match5162,Mike McCarthy,
The Squeeze,Michael John Douglas,Match914,Daniel Taplitz,
,Eddie Laughton,Match21334,Gilbert Pratt,
,U2,D12247,,
The New York Ripper,Jack Hedley,Match4840,Lucio Fulci,
,Ayub Khan-Din,Match19343,Hanif Kureishi,
The Impossible Voyage,Marie-Georges-Jean Mu00E9liu00E8s,Match18400,Victor de Cottens,
"Pane, amore e...",Lea Padovani,Match19822,Ettore Maria Margadonna,
The Ice Harvest,Connie Inge-Lise Nielsen,Match22843,Scott Phillips (writer),
Ishq hai tumse,Dino Morea,Match21174,G. Krishna,
,Steven Drozd,D12254,Wayne Coyne,
,Tito Gómez,Match4513,Gustavo Postiglione,
,Master Parth Dave,Match3384,Sanjay Chel,
,Jatin Khanna,Match5106,,
"Zidane, un portrait du 21e siu00E8cle",Ronaldo,Match18459,,
,Ohad Knoller,Match13260,Gal Uchovsky,
Dark Water,Hitomi Kuroki,Match16363,Hideo Nakata,
,Kamal Haasan,D12261,,
,Lucille Fay LeSueur,Match14547,Ogden Nash,
Just Imagine,Marjorie White,Match21728,,
Von Ryan's Express,Adolfo Celi,Match18106,David Westheimer,
,Ashok Kumar Balakrishnan,D12265,,
Funny Farm,Cornelius Crane Chase,Match18763,Jeffrey Boam,
The Emperor and the Assassin,Li Xuejian,D12267,Chen Kaige,
,,D12268,Neil Gaiman,
The Jedi Hunter,"Brian Boling
Heather Harris
Jimmy Burns",Match6046,Lowell Cunningham,
A Big Hand for the Little Lady,Joanne Gignilliat Trimmier Woodward,Match937,Sidney Carroll,
Les Diaboliques,Paul Meurisse,Match18869,Thomas Narcejac,
,u0E01u0E23u0E35u0E1Eu0E07u0E28u0E4C u0E40u0E17u0E35u0E22u0E21u0E40u0E28u0E27u0E04  Kripong Tiamswate,D12272,,
Fire with Fire,Craig Sheffer,Match14686,Sharon Boorstin,
,Robinne Fanfair,D12274,Valerie Tripp,
Volkodav iz roda Serykh Psov,Aleksandr Bukharov,D12275,Nikolai Lebedev,
,Eric Savin,Match19155,Lionel Bailliu,
,Adithya,D12277,,
,Thomas Bo Larsen,Match16948,Jens Dahl,
,Renata Tebaldi,Match2588,Antonio Ghislanzoni,
,Helen Hughes (actress),Match1169,Doug Olson,
Mulan,Beth Fowler,Match3411,Rita Hsiao,
The Shooting,Will Hutchins,D12282,Carole Eastman,
Naa Autograph,Mallika,D12283,Cheran,
,Jean-Claude Camille Franu00E7ois Van Varenberg,Match636,Eric James Virgets,
Port of New York,K.T. Stevens,Match4240,"Eugene Ling (screenplay)
Bert Murray (story)
Arthur A. Ross",
,Kwok Chu Wong,D12286,,
Kook's Tour,Don Lamond,Match18649,Norman Maurer,
Abre los ojos,Penu00E9lope Cruz Su00E1nchez,Match314,Alejandro Fernando Amenu00E1bar Cantos,
,Evan Rachel Wood,Match1644,"Gregory Goodell
Gloria Murphy (book)",
,Jacques Chirac,Match15152,Ahmed Hamidi,
Road to Zanzibar,Mary Leta Dorothy Slaton,Match18755,Frank Butler,
Should Men Walk Home?,Mabel Normand,Match14840,H. M. Walker,
Robinson Crusoe on Mars,Paul Mantee,Match20660,Ib Melchior,
Captain January,Irene Rich,Match13998,Eve Unsell,
Mothra vs. Godzilla,Emi Ito,Match21034,Shinichi Sekizawa,Ryohei Fujii
Bangers,Lynette Curran,Match13955,,
Atraco a las tres,José María Caffarel,Match14874,Rafael J. Salvia,
Hellboy: Blood and Iron,John Vincent Hurt,D12298,Mike Mignola,
Waking Up in Reno,Natasha Jane Richardson,Match17212,Mark Fauser,
,Woody Herman,Match4830,,
Someone to Watch Over Me,Jerry Orbach,Match21273,Howard Franklin,
Waitress!,"Jim Harris
Carol Drake
Carol Bevar
Renata Majer
Hunt Block",Match15596,"Charles Kaufman
Michael Stone",
,Tupac Shakur,Match22336,,
,,D12304,Carl Fick,
,Shamili,D12305,Fazil,
The Opium War,,Match1256,Zhu Sujin,
,Ronnie Marzillier,Match12864,Andreas Samland,
Academy Award for Best Foreign Language Film,Juliane Köhler,Match447,Stefanie Zweig,
Araya,Laurent Terzieff,Match15267,Margot Benacerraf,
,Milton Jayawardena,D12310,Tissa Abeysekera,
Harlem Nights,Redd Foxx,Match16209,Eddie Murphy,
Aaj Ka Arjun,Amitabh Bachchan,Match1744,,
,Mohan Babu,Match1493,J.K. Bharavi,
Black Snake,David Prowse,Match16014,A. James Ryan,
,Trevor Snowdin,D12315,Derek Westerlund,
Automatons,Lawrence Rory Guy,Match13023,James Felix McKenney,
,Masahiko Nishimura,Match18642,Mitani Koki,
Laughing Gas,Charles Chaplin,Match14081,,
,Venkatesh,D12319,N. Shankar,
The Nanny,Ruth Elizabeth Davis,Match12960,Jimmy Sangster,
,,Match14210,Michel Ocelot,
,Cyril Ritchard,Match21151,Charles Bennett,
Twist,,Match15385,<http://www.imdb.com>,
,Henry Jaynes Fonda,Match20477,Zoe Akins,
,Robert Blake (actor),Match3372,Ruben Sax,
The Visitation,Martin Donovan,Match2761,Frank Peretti,
Republic Pictures,Nino Pipitone,Match22726,William Lively,
,Senta Berger,Match17181,Harold Pinter,
The Foot Shooting Party,Michael David Rapaport,Match320,Kenneth F. Carter,
